Id,Label
665,1
12,1
1074,1
323,1
892,1
513,1
101,1
894,1
315,1
347,1
582,1
624,1
871,1
499,1
47,1
1055,1
213,1
887,1
545,1
627,1
1107,1
748,1
257,1
489,1
1015,1
560,1
303,1
1179,1
305,1
433,1
1269,1
1044,1
112,1
521,1
360,1
1181,1
1188,1
68,1
631,1
1246,1
160,1
919,1
248,1
674,1
963,1
1026,1
502,1
272,1
106,1
454,1
266,1
458,1
1089,1
833,1
587,1
507,1
664,1
890,1
1081,1
809,1
844,1
307,1
93,1
517,1
997,1
378,1
79,1
84,1
558,1
1076,1
739,1
1252,1
142,1
173,1
329,1
1209,1
615,1
559,1
1140,1
237,1
858,1
91,1
104,1
687,1
44,1
1116,1
352,1
679,1
128,1
912,1
373,1
728,1
1013,1
699,1
328,1
622,1
831,1
67,1
793,1
984,1
540,1
200,1
879,1
868,1
1104,1
899,1
449,1
1102,1
921,1
643,1
141,1
302,1
803,1
747,1
1108,1
755,1
195,1
563,1
994,1
1130,1
1072,1
804,1
308,1
730,1
640,1
1082,1
1065,1
1067,1
547,1
415,1
1126,1
180,1
780,1
1168,1
115,1
427,1
729,1
776,1
55,1
1138,1
957,1
1030,1
1165,1
616,1
287,1
874,1
1018,1
215,1
537,1
53,1
901,1
855,1
897,1
417,1
584,1
604,1
223,1
313,1
883,1
1024,1
707,1
789,1
381,1
472,1
724,1
662,1
1217,1
353,1
1223,1
906,1
177,1
778,1
1222,1
731,1
220,1
611,1
133,1
1128,1
136,1
539,1
206,1
1002,1
895,1
970,1
585,1
688,1
623,1
870,1
134,1
484,1
72,1
171,1
752,1
783,1
1127,1
770,1
370,1
383,1
119,1
86,1
102,1
338,1
721,1
451,1
1166,1
567,1
706,1
885,1
1182,1
27,1
568,1
10,1
1031,1
261,1
1158,1
256,1
596,1
1050,1
790,1
579,1
1061,1
113,1
532,1
385,1
289,1
326,1
697,1
365,1
50,1
762,1
238,1
564,1
840,1
650,1
166,1
1043,1
863,1
1155,1
1260,1
96,1
666,1
553,1
570,1
1218,1
1135,1
913,1
1232,1
172,1
333,1
29,1
999,1
399,1
439,1
219,1
151,1
1084,1
1231,1
655,1
1143,1
162,1
609,1
208,1
1060,1
228,1
807,1
1039,1
336,1
148,1
962,1
849,1
362,1
1052,1
696,1
1156,1
1119,1
82,1
811,1
1004,1
947,1
1037,1
943,1
710,1
341,1
413,1
445,1
949,1
530,1
221,1
1174,1
132,1
654,1
882,1
1113,1
1255,1
818,1
959,1
309,1
964,1
651,1
480,1
927,1
282,1
7,1
668,1
479,1
43,1
176,1
461,1
774,1
1198,1
271,1
1235,1
839,1
56,1
983,1
1094,1
501,1
1151,1
99,1
1099,1
974,1
945,1
1186,1
626,1
641,1
438,1
578,1
201,1
390,1
777,1
367,1
90,1
317,1
766,1
929,1
588,1
941,1
519,1
1087,1
187,1
404,1
544,1
629,1
971,1
1057,1
71,1
217,1
156,1
1120,1
838,1
853,1
496,1
1212,1
69,1
681,1
1189,1
1263,1
455,1
100,1
149,1
1077,1
57,1
702,1
392,1
1185,1
163,1
695,1
605,1
1192,1
476,1
979,1
857,1
542,1
239,1
474,1
673,1
1268,1
168,1
645,1
705,1
372,1
175,1
